,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,0.0009450421200000001,205.937052
1,2MASS 0036+1821,28.6,0.00089731272,205.52599999999998
2,2MASS J02431371−2453298,35.0,0.0009450421200000001,205.73152599999997
3,Teegarden's star,12.578,0.0012123267600000001,205.83428899999998
4,DEN 0255-4700,16.2,0.00092595036,206.142578
5,2MASS J03185403-3421292 [de],45.0,0.00092595036,206.34810399999998
6,2MASS J03264225-2102057 [de],80.0,0.0012409644000000001,205.83428899999998
7,2MASS J03284265+2302051 [de],98.0,0.00093549624,205.52599999999998
8,2MASP J0345432+254023,88.0,0.0010023174,205.21771099999998
9,Teide 1,380.0,0.00360834264,205.012185
10,2MASS J03552337+1133437,29.8,0.00126005616,206.142578
11,2MASS J04151954−0935066,18.6,0.0009068586,205.73152599999997
12,2MASS J04285096-2253227 [de],85.0,0.0010405009200000002,205.83428899999998
13,2MASS J04390101-2353083 [de],29.5,0.00092595036,205.83428899999998
14,2MASS J04455387-3048204 [de],42.0,0.000954588,205.83428899999998
15,2MASS J04510093-3402150 [de],69.0,0.068730336,205.83428899999998
16,2MASS J05002100+0330501 [de],44.0,0.000954588,206.34810399999998
17,2MASS J05012406-0010452 [de],64.0,0.00131733144,206.34810399999998
18,2MASS J05160945-0445499 [de],73.0,0.00092595036,205.83428899999998
19,LSR 0602+3910 [de],34.6,0.00134596908,205.83428899999998
20,2MASS J06244595-4521548 [de],39.0,0.0009450421200000001,206.34810399999998
21,2MASS J06411840-4322329 [de],65.0,0.00096413388,206.34810399999998
22,DENIS-P J0652197-253450 [de],51.0,0.0010023174,206.34810399999998
23,UGPS J072227.51-054031.2,13.4,0.00093549624,206.55363
24,2MASSI J0727182+171001 [de],29.6,0.00089731272,205.73152599999997
25,2MASS J07290002-3954043 [de],25.8,0.00089731272,206.245341
26,SDSS J074201.41+205520.5 [de],49.0,0.00089731272,205.937052
27,DENIS-P J0751164-253043 [de],55.0,0.0009832256400000002,206.34810399999998
28,DENIS J081730.0-615520,16.1,0.00089731272,206.55363
29,2MASS J08251968+2115521 [de],35.0,0.00093549624,205.52599999999998
30,SDSSp J083008.12+482847.4 [de],43.0,0.0009450421200000001,205.73152599999997
31,SDSS J083048.80+012831.1 [de],77.0,0.00091640448,205.937052
32,2MASSI J0835425-081923 [de],23.53,0.000954588,205.83428899999998
33,2MASSI J0847287-153237 [de],43.0,0.000954588,205.83428899999998
34,2MASSI J0859254-194926 [de],50.0,0.00093549624,205.83428899999998
35,2MASSI J0937347+293142,20.0,0.00089731272,205.73152599999997
36,2MASS 0939−2448,17.4,0.0009068586,206.03981499999998
37,2MASS J09490860-1545485 [de],59.0,0.00091640448,206.03981499999998
38,2MASSI J1010148-040649 [de],55.0,0.00093549624,205.83428899999998
39,2MASS J10224821+5825453 [de],60.0,0.00134596908,206.34810399999998
40,2MASSW J1036530-344138 [de],53.0,0.00092595036,205.73152599999997
41,2MASS J1047538+212423 [de],34.4,0.00089731272,205.423237
42,DEN 1048-3956,13.15,0.00102140916,205.52599999999998
43,Luhman 16B,6.516,0.0009736797600000001,206.861919
44,Luhman 16A,6.516,0.00096413388,206.861919
45,DENIS-P J1058.7−1548,49.0,0.000954588,205.21771099999998
46,Cha 110913-773444,163.0,0.0017182584,206.03981499999998
47,2MASS J11145133−2618235,18.2,0.00091640448,206.03981499999998
48,2MASS J11544223-3400390 [de],129.0,0.001431882,205.83428899999998
49,2MASSW J1155395-372735 [de],31.0,0.000954588,205.73152599999997
50,2MASSI J1217110-031113 [de],36.0,0.00089731272,205.423237
51,2M 1237+6526,45.6,0.00089731272,205.83428899999998
52,SDSSp J125453.90-012247.4 [de],38.0,0.00093549624,205.52599999999998
53,Kelu-1A,61.0,0.00093549624,205.21771099999998
54,Kelu-1B,61.0,0.00093549624,205.21771099999998
55,SDSSp J132629.82-003831.5 [de],65.0,0.00092595036,205.52599999999998
56,SDSSp J134646.45-003150.4 [de],48.0,0.00089731272,205.52599999999998
57,SDSS J141659.78+500626.4 [de],149.0,0.0009450421200000001,206.142578
58,DENIS-P J142527.97-365023.4 [de],38.0,0.00126005616,205.937052
59,2MASS J14482563+1031590 [de],47.0,0.0009450421200000001,205.83428899999998
60,CFBDSIR 1458+10A,104.0,0.001431882,206.55363
61,CFBDSIR 1458+10B,104.0,0.0012409644000000001,206.55363
62,2MASS 1503+2525,20.7,0.00089731272,205.83428899999998
63,2MASSW J1506544+132106 [de],46.0,0.0009736797600000001,205.52599999999998
64,2MASS 1507−1627,23.9,0.0009450421200000001,205.52599999999998
65,2MASSW J1515008+484742 [de],34.0,0.0009450421200000001,205.83428899999998
66,2MASSI J1526140+204341 [de],67.0,0.00093549624,205.52599999999998
67,DENIS-P J153941.96-052042.4 [de],51.0,0.000954588,205.937052
68,2MASS J15462718-3325111 [de],37.0,0.00089731272,205.73152599999997
69,2MASSW J1552591+294849 [de],68.0,0.00136506084,205.83428899999998
70,2MASSW J1555157-095605 [de],44.0,0.0009832256400000002,205.73152599999997
71,2MASS J16150413+1340079 [de],48.0,0.00089731272,206.245341
72,SDSSp J162414.37+002915.6 [de],36.0,0.00089731272,205.423237
73,2MASS J16262034+3925190 [de],110.0,0.0009832256400000002,205.937052
74,2MASSW J1632291+190441 [de],50.0,0.00092595036,205.423237
75,LSPM J1658+7027 [de],60.0,0.00099277152,205.52599999999998
76,LSR J1835+3259,18.5,0.00102140916,205.83428899999998
77,PSO J318.5−22,80.0,0.00146051964,206.861919
78,2MASS J22282889-4310262,35.0,0.00089731272,206.861919
79,WISE 0410+1502,20.0,0.00111686796,206.55363
80,WISE 0458+6434A,35.9,0.0040092696,206.55363
81,WISE 0458+6434B,35.9,0.0036274344,206.55363
82,WISE 1405+5534,25.3,0.00082094568,206.55363
